Word,Frequency
শিল্পখাত,12
হরে,10
সেবাগুলো,11
সায়লা,11
কর্মসুচির,10
কারিমা,11
ডিভোর্সি,11
সন্তানহীন,10
পাত্রীর,11
বয়স্ক,12
ওয়ার্ডে,10
আত্নীয়,11
তাওহিদ,11
সোর্সিং,10
আশকোনায়,12
রেশমার,12
এলিফেন্ট,12
রুনু,11
গৃহকর্মীকে,11
প্রাভার,11
হ্যাং,11
মূল্যায়ন,11
ব্যবস্থাপনায়,12
সেক্ষত্রে,11
উভয়কে,11
আসাটাই,10
আশুরায়,10
ঘটনাবলীর,10
রোটারি,11
আহসানকে,10
তিব্র,10
গাফ্ফার,11
দেলওয়ার,12
সায়েদুর,10
মাস্টাররোল,11
পরিদফতর,10
ভাবধারার,10
প্রাবন্ধিক,11
বাণিজ্যমন্ত্রীর,11
বিআরবি,10
মারধরসহ,11
মহব্বত,12
তালামীযে,12
ওলী,10
কাফেলা,12
এসোসিয়েশনে,11
আক্বিদা,10
তুলারাম,10
লার্জ,11
বেশিসংখ্যক,10
খরচেই,12
মুহাম্মাদিয়া,11
পাহাড়া,10
লঙ্ঘনকারীদের,11
অ্যামোনিয়া,11
জুলকার,11
নারায়ণগঞ্জ,10
ইলেক্ট্রিক্যাল,10
খতিয়ে,11
খাদ্যসহ,11
ফোন,11
১৪নং,11
গভ,11
এজেন্টসহ,12
ডিসিকে,10
মহাবিপর্যয়,11
সনাক্তকরণের,11
প্রকল্পগুলোকে,11
দারোগা,12
মেহেদীকে,12
চেকটি,10
সরাফত,10
কন্ট্রোলরুমের,11
জনশুমারি,12
জনশুমারিতে,12
শুমারি,12
কালাকানুন,12
পত্রপত্রিকা,10
২০৫টি,12
ইতালিফেরত,11
কার্যালয়,10
আসমানি,11
ঘুমাচ্ছে,12
কইরা,10
ফেইজ,10
ঝগড়ায়,10
লাফালাফি,11
নীরা,10
করিও,11
জিনপিংকে,12
টোলারবাগ,10
ইসলামপুরে,12
রামপুরায়,10
ব্যাবসায়ী,12
মুনাফাখোর,11
মানবপাচারকারীরা,12
জাতিসংঘও,11
২০২০ইং,11
কলাবাগানে,10
এয়ারগান,11
অনুমোদনবিহীন,11
শপথবাক্য,11
জুলুছ,11
বিশ্ববিদ্যালয়সমূহে,12
মোবাশ্বের,11
অত্যাবশকীয়,10
ফজলু,12
লোটন,10
মোটরবাইকে,11
শায়ান,10
বন্দেগি,11
ইসকনের,10
উগ্রবাদীরা,11
দরদি,12
এনটিপি,10
আনয়ন,11
বাবারা,10
মুর্দাবাদ,11
মণির,10
কারখানায়,10
পেশীশক্তি,10
খায়নি,12
আর্মিতে,12
অর্থমন্ত্রণালয়ের,12
কাটলেন,11
কেকের,11
অনকোলজি,11
চার্জে,11
কলেজছাত্র,10
প্রাণভিক্ষার,10
মিজানুল,11
সোহরাওয়ার্দী,10
পট্টি,11
দেও,12
ইলেকট্রনিকস,10
খুনীদের,12
তদস্থলে,11
মাজহারী,10
উদ্দেশ্যকে,12
মীমাংসিত,12
এওয়ার্ড,10
আরসি,10
গমনেচ্ছুদের,12
সময়সীমা,12
বাকেরগঞ্জের,11
সবরকমের,12
হাতপাখা,12
মানারাত,12
ভোরে,11
ডিজিটের,12
অব্যাহতিপ্রাপ্ত,11
গ্র্যাচুইটি,10
স্যানিটেশনের,12
ভাবমূর্তিকে,12
নারীদেরকে,12
আবোল,10
বাস্তবিকই,10
কোম্পানিটিকে,10
শ্রমশক্তি,12
করোনারি,12
কেয়ার,11
বিতরণকৃত,12
শারীরীক,10
রাজাবাজারের,11
এমতবস্থায়,11
নির্বাচিতরা,10
নকি,10
ডিমার্কেশন,12
প্রসিডিউর,11
মেধাবি,12
ঢুকছেন,12
সেন্টার্স,12
বেড়েই,12
বিএমটিএ,12
বিপিএসএমটিএ,10
আলমাছ,11
র্যাব,11
সুকানি,10
মৃধার,10
নাতনিসহ,11
বহিস্কারের,12
বিশ্বমুসলিম,12
মাসুদসহ,11
বিশ্বস্ততা,10
সারোয়ার,10
্রােত,10
তারাতো,10
রাঃ,10
গাবতলীতে,12
ওনাদের,12
সিংগাইর,10
অর্জনকারীদের,10
নিরুপম,10
বয়সের,11
গৃহস্থালীর,12
রঞ্জু,12
লাবলু,11
এযাবৎ,10
মখদুম,11
ফ্লাইটগুলোর,12
বিক্ষোভ,11
স্ট্রাকচারাল,12
অগ্রপথিক,11
পোশাকশিল্প,10
কর্তৃপক্ষে,12
থাপ্পর,10
গাবতলীর,10
নিয়ন্ত্রণেও,11
চাকরিচ্যুতি,12
মহাদুর্যোগে,11
যুবসেনা,10
ছাত্রসেনার,12
পরিষ্কারে,11
সিদ্দীকি,12
প্রিয়নবীর,10
অলিগলির,11
বন্দেগী,10
নাজাতের,10
আতঙ্কজনক,10
বিবাদীরা,12
সংখ,12
আঁটি,11
আকারভেদে,12
তেলাপিয়া,10
পাবদা,10
বিনিময়,12
দার্জিলিংয়ে,10
বৃদ্ধিরও,12
সাজিদুর,12
শান্তিশৃঙ্খলা,10
জহিরুলের,12
হোসেনপুর,12
কাউন্সিলিং,11
রেলক্রসিংয়ে,10
নেসার,11
দোকানী,11
বনশ্রীর,12
ফ্রিতে,11
রাজমিস্ত্রী,10
বৃদ্ধিও,10
নিভাতে,11
ধোলাইপাড়,10
আরোহীসহ,10
কোতোয়ালির,10
দগ্ধরা,10
শাটার,12
রওনকুল,12
মোক্তাদির,11
তরু,10
নয়াপল্টন,10
দুর্যোগময়,12
পেয়াঁজ,12
রিকশাচালককে,11
ফকিরাপুলের,10
গাড়িচাপায়,11
ম্যাসেজে,12
দুইজনে,11
ইসলামপুরের,12
ছয়জনসহ,11
প্রতিবেশীকে,12
বাড়িগুলোতে,12
অ্যাভিনিউস্থ,12
পরামর্শক্রমে,11
গাড়িতেও,12
বখাটেরা,12
মিরপুরসহ,10
স্লিপের,12
টেকনোলোজি,10
ধূপখোলা,11
ফজিলত,10
ইনসান,10
কলস,10
আয়ানের,10
পাম্পে,12
বিনিময়কালে,11
টেলিকমের,10
শুটারগান,11
গ্রেপ্তারদের,10
খায়েরকে,10
বিল্ডার্সের,12
বারিধারায়,11
ভার্টিক্যাল,11
বন্দরসমূহে,12
শামসের,12
বেড়াত,11
হাতটা,10
দেওভোগ,10
শরিফুর,12
তোমার,10
মিসির,12
পাবেল,10
লেনদেনও,12
২০০টির,12
শিবিরগুলো,11
পেরিয়ে,10
সক্রিয়ভাবে,10
চালাতেই,11
ক্যাসিনোকাণ্ডে,12
খেদমতে,10
কেটেছিলেন,10
ইন্টার্নশিপ,11
ট্রেনটিতে,10
চামারি,12
সাফিউদ্দিন,12
হতভাগা,10
পর্নোগ্রাফি,12
কাঁটাবন,10
ব্লাসফেমি,11
সাহেবজাদা,12
নবীজীর,10
রক্তবিন্দু,10
াসী,11
কেন্দ্রেই,11
কলেজটির,11
চু,10
সমাজসেবায়,12
এফসিএ,12
পদকপ্রাপ্তরা,12
মাতৃত্ব,12
পাটে,11
লীগই,11
এসমস্ত,12
আমানতকারী,12
ব্যরিস্টার,11
আপগ্রেডেশন,10
গ্রহনে,11
দুদুকের,10
এটিআর,10
জ্ঞানহীন,12
সাংস্কৃতির,11
ইনস্টিটিউটকে,10
অর্ধনমিতকরণ,10
পক্ষীয়,11
টোকাই,12
অন্বেষণে,12
দানার,12
থেতলে,11
চিকিৎসারত,10
দায়িত্বকে,10
দামকুড়া,11
দুয়েকটা,11
এভিয়েশন,11
সময়কালে,10
অতল,12
বসুন,11
দিয়েছো,10
আফফান,12
কর্তৃপক্ষই,12
পাঠিয়ে,12
কুয়েতের,10
দারপ্রান্তে,11
লিল্লাহ,11
হক্ব,10
পিংকু,12
স্বপ্নগুলো,11
পুনঃপ্রতিষ্ঠার,12
আপনাদেরই,10
দাবিয়ে,12
ষ্টেশন,11
বিদ্যালয়,10
আলোচকদের,11
এনজিওদের,10
হাস,12
সচেতনামূলক,10
নামিয়ে,11
সিস্টার,10
পার্লারের,10
ভিখারি,10
সংকর,10
রোগীর,11
বিভৎস,11
সমাজতন্ত্রের,11
সঃ,11
ফিরোজী,12
দাঁড়াচ্ছি,12
বারকাত,12
অনিশ্চয়তা,10
শ্রেণিকক্ষের,10
ছয়জনই,10
বিশ্ববিদ্যালয়গুলোকে,12
গুণাবলি,11
জঙ্গীবাদ,12
সমাবর্তনে,11
কারমেন,12
বন্দরস্থ,11
মাওলান,10
জাতিসত্তার,10
মননে,11
গাউস,10
হোক,11
কূটনৈতিকদের,11
জেবা,10
সর্বহারা,12
শ্রমিকদলের,10
সিঁড়িতে,12
বুঝতাম,11
মাইনউদ্দিন,10
চালিয়েছিল,11
আগারগাঁওয়ের,12
উদ্দেশেই,11
প্রতিরাতে,10
ডাইস,11
ইভানের,10
কালোত্তীর্ণ,10
আঠা,12
শিল্পকলায়,11
প্রযোজনাটির,11
তেইশ,11
মগবাজারস্থ,12
প্রফ,10
রেইলি,10
রটানোর,11
পরিচালনায়,10
ফ্যাটের,10
অনিদ্রায়,11
মশিউজ্জামান,11
মৃতদেহে,11
শুক্রাণুর,11
ওমরাযাত্রীরা,11
টেকনিশিয়ানরা,12
প্রবেশও,12
ডিসিসহ,11
এমরানুল,12
মহাসড়ক,12
শাহাদৎ,12
সংবাদিকদের,11
রুজুর,10
বিতার্কিক,11
ডিবেটিং,10
উন্মেষ,10
মডারেটর,12
সংগতিপূর্ণ,11
একট,10
সম্মানীয়,12
প্রতিহিংসাপরায়ণ,10
নিষ্কন্টক,11
নজীরবিহীন,12
সিপাহসালার,10
পৌণে,11
এমসিসিআই,10
ওক,12
কোষাধক্ষ্য,11
হিরন,10
কেরামদের,10
প্রতিমন্ত্রীসহ,11
আত্মীয়র,11
প্রটৌকল,12
যানজটমুক্ত,10
বাইপাইল,12
ক্যাটাগরিতেই,10
অন্যকোনো,12
আর্টিসান,11
জঙ্গিবাদে,11
পেড়েছে,11
প্রাঙ্গন,10
পার্টিসিপেশন,10
৪৫০০,11
বিতরনের,12
আচরনের,11
ধৃষ্টতার,11
রায়পুরী,10
সামর্থবান,12
কোরবানিদাতারা,12
লালকুঠি,11
জালিয়াতিসহ,12
গাড়িগুলোকে,11
রায়ের,11
বিজয়ের,12
অপশাসন,10
গাজীপুরী,11
পোর্টেবল,10
নুমান,11
ভূগোল,12
বিদ্যালয়টির,10
এজহারুল,11
মজিদিয়া,11
গাউসুল,12
শলাকা,12
জনশক্তিকে,11
ঢালীর,12
কারারক্ষীরা,10
প্রতিরোধযোগ্য,11
সদরদফতরে,10
বার্মার,11
করিয়া,12
সড়কের,10
মাতবর,10
সাদরেজ,12
স্বৈরাচারের,11
বিডিএফ,10
তাদে,11
১৯১৩,12
রূপদান,11
হলগুলোর,11
নেমেসিস,12
টাঙ্গিয়ে,11
বিমানবন্দরগুলোর,10
অলিউর,10
লোডার,10
জিন্সের,10
বনানীস্থ,11
মানবাধিকারকর্মীদের,10
তোলাকে,10
জমিদারী,12
খসলেই,11
ভিতরেও,11
শিক্ষণ,10
পোস্ট,11
প্রবাসীদেরকে,12
কমিশনসহ,12
অবমাননাকারী,12
মাহমুদী,11
ছাত্রসমাজের,10
জামিলের,11
বায়েজীদ,12
পেশেন্ট,11
ডায়াল,10
বর্ননা,10
দূর্বলতা,12
বাজায়,11
দূরান্তের,10
ইন্সটিটিউশন,12
মহামারীকালীন,12
টেলিটকের,10
বুখারীর,10
দালালচক্র,10
নেজামী,10
আতহারী,11
উলামাদের,11
ফ্লাটের,10
নেতৃতে,10
এলাকাসমূহে,11
নিন্ম,10
ডিজিডিএ,12
ফররুখ,10
মাইক্রোক্রেডিট,12
ভেজিটেবল,12
স্বাস্থ্যখাতসহ,11
অপারেটর্স,12
ঘরানা,10
এসএমএসের,11
কচুয়া,12
ইউনিটগুলোর,10
ধৈর্য্যের,11
বাদলকে,11
কামারপাড়া,10
গৃহবধুকে,10
সভপতি,11
ইফতেখায়রুজ্জামান,12
রামগতিতে,10
জিংক,12
লাগিয়ে,12
হুঁ,12
রাওয়া,12
হেডকোয়ার্টারের,11
নৌকাকে,10
পান্নার,11
ভাসুর,11
যোগাযোগ,10
পলকের,10
বিটিসিএলের,12
বেয়াই,10
অন্ত্র,10
শিক্ষকেরা,11
ফ্যাকাল্টি,11
হিরণ,11
ডামাডোলের,10
ক্যাটেগরির,10
নেওয়াদের,10
হিজড়াদের,10
তোলাসহ,10
হোবার্ট,11
পরিসেবায়,10
এলোমেলোভাবে,10
চিকিৎসাবিজ্ঞানের,11
মলিকিউলার,10
যৌনকর্মে,11
যতটুক,11
ফিজিক্যালি,11
সংকল্পবদ্ধ,12
আসাফ,11
সজেকা,10
লামিয়া,10
পাথেয়,11
কমিয়েছিলেন,12
কৃষিখাতকে,10
কৃষিখাত,11
একাজে,10
সুবিধাবঞ্চিতদের,10
রুনী,11
ধারণে,10
প্রণয়নসহ,11
লোকনাথ,12
ডলারসহ,12
কাঁঠালবাগান,10
উৎকণ্ঠিত,11
হস্তক্ষেপেই,10
কেহ,11
বন্ধকি,11
ঘুটঘুটে,11
ফার্মেসিগুলোতে,12
ক্রীড়নক,10
শায়েখে,11
জবরদখলের,11
বেশিতে,10
হাফেজে,10
মানসম্মান,10
সৎমা,10
থলের,11
ভদ্রলোকের,12
জন্মাবে,10
হইছে,12
দুরপাল্লার,12
ব্যাংকেও,12
সত্যব্রত,11
৩৪নং,10
সুস্থবোধ,10
গুলোতেও,11
নিপসমের,12
দোয়া,11
গ্লাভসের,12
পরলোক,11
সেবাধর্মী,11
সম্পাদকগণ,10
উচ্চরক্তচাপ,10
পরিমাপক,12
ফাতেমাকে,11
ওঠো,11
নেতৃবৃন্দও,11
রীতা,12
আনম,10
রিলেশন,12
ভিত্তিকে,10
পাষাণ,12
বইগুলোর,10
উত্তরীয়,10
হননের,12
মজুরের,10
পাতেন,11
চিন্তাশীল,10
পিষ্ঠ,12
মূর্খ,12
অসহিষ্ণু,10
মুচকি,12
চেয়েছিলেন,10
একমুঠো,10
পাপড়ি,11
নূরউদ্দিন,10
অবৈতনিক,11
সাফফাত,12
ভাগ্নি,10
নিরাপত্তাকর্মীর,11
দিয়াবাড়ি,11
বুনিয়াদি,12
লিয়েন,10
টেম্বন,10
মেনশন,10
কলেজগুলোর,12
নান্নুকে,12
কূটনীতিবিদ,11
বসবাসযোগ্য,11
রুপে,12
আসামীসহ,11
অভ্যন্তরেই,10
কোনোটিতে,11
আলোচ্যসূচিতে,10
৩১শে,11
বিমানেই,10
দারোয়ানের,10
কার্ডস,10
দমকলবাহিনী,10
কালবেলা,10
নিম্নবিত্তদের,11
দুর্ঘটনাস্থল,11
সার্ভিসও,11
টোকন,12
মোটরসাইকেলও,10
৯ই,12
কামালউদ্দিন,10
আজগুবি,11
ছিলো,11
সিদ্ধান্তহীনতা,12
রিপাবলিকে,11
ক্রোয়েশিয়ায়,11
রোমানিয়ায়,11
লিথুনিয়া,10
রেলগেইট,11
তরিতরকারি,10
রশিতে,11
বোম্বের,11
কায়েদে,10
জনদুর্ভোগের,11
তল্লাশিচৌকিতে,12
নাজিমুদ্দিন,12
অভিনয়েই,10
ছোটে,12
উদাস,10
স্বত্ত্ব,10
প্রিয়মুখ,12
জ্যোতিকা,10
ব্যাঙাত্বক,12
অবিবাহিতদের,12
নাফিজা,12
স্মৃতিগুলো,12
অভিযোগপত্রটি,12
চিনেন,11
টেলেন্ট,11
মুৎসুদ্দি,10
নাচিয়ে,10
মুদ্রাদোষ,12
স্বপ্নযাত্রা,11
শুভেচ্ছ,11
১০৮৫,11
স্টিভি,10
বাজেরে,11
কোয়েলের,11
নিসপাল,11
করেনাভাইরাস,11
দুরুত্ব,11
প্র্যাক্টিস,10
অনন্তকে,10
হেরাতের,11
বনভোজনে,11
নওশাদের,12
বিরাটকে,11
চলচ্চিত্রপ্রেমী,12
তকমাও,10
দত্তর,10
হাস্যরসে,10
ইয়োন্ডার,10
নৃত্যপরিচালক,12
ডার্টি,12
একবাক্যে,12
পাওয়ারও,11
প্যানেলকে,11
বাড়াতেও,11
কাঙ্গাল,11
এগুচ্ছেন,12
অশরীরী,11
রংবাজ,12
গহীনের,10
দৃশ্যায়নে,11
দুলকার,10
ইউভান,11
শেপ,11
ফিল্মেও,12
আখতারকে,11
ধারনের,10
আচারিয়ার,12
শ্রুতিমধুর,11
এনবিসির,10
রেশম্মিয়া,10
স্বাতি,12
পরিণয়,11
নিরীক্ষিত,11
শাহরিন,12
মেলোডিয়াস,11
শুক্লার,12
পুত্রবধূর,12
আইএএস,10
প্যারাডাইস,12
মেকআপে,10
গ্লো,10
মিগেল,10
পূর্বপুরুষ,10
দুর্ঘটনাক্রমে,11
পূর্বপুরুষদের,10
ভিত্তিই,11
পরিমার্জন,11
চাচ্চু,12
বাংলাঢোলের,11
সেন্সরের,10
তানজিকা,10
পরায়ণ,11
শ্রাবস্তী,12
কুইবেক,12
বাসভবনেই,11
খাইনি,11
ঝামেলাও,10
একসাথেই,10
ক্যাফেটেরিয়া,12
মহাবীর,11
ক্যারিয়ারই,11
সাজতে,11
প্রোডাকশনস,11
হ্যাংকস,10
অভ্যুদয়,10
আপনজনদের,10
ফেরারও,10
শয়ন,10
ফাহমির,12
কলকাতাসহ,10
মহাদেব,11
অঞ্জলী,11
শিকে,10
রাইয়ান,11
খেরের,12
ভারচুয়াল,11
বয়স্কা,12
চলচ্চিত্রাঙ্গনে,10
যৌনতার,10
বিপরীতেই,12
চিত্রনির্মাতা,12
ঘোষণাতেই,12
আশরাফকে,12
হিরোইন,12
লেগেছিলো,11
সবরাহ,11
জিনিসই,11
ম্যাডক,11
পাপারাজ্জিদের,12
স্বাক্ষরও,12
পরিনীতি,12
ফিল্মও,11
মালায়,11
সঙ্গীতায়জন,12
মিশ্রণে,11
ক্ল্যাসিক্যাল,12
লাগিয়েছিলেন,10
অনুপ্রেরণামূলক,10
নেতিবাচকতা,10
ইস্তানবুলের,11
ডাকব,10
হিউমার,12
জোরেই,11
পন্সর,12
লগ্নিকৃত,12
ইমোশনাল,10
বিরহের,12
চুড়ি,11
সংগীতশিল্পীর,11
তরিক,12
শুভব্রত,12
্যামার,10
মন্দাবস্থা,12
এভাবেও,10
আঁচলের,10
অভিনয়টা,12
মেনটেইন,11
ব্যপারটা,11
নাড়েন,12
পছন্দেই,10
নাশতা,12
শরীরচর্চায়,11
প্রত্যুষ,12
রজতাভ,11
শফিকুলের,10
ভাতে,12
দৃশ্যই,12
মর্জি,10
হেয়ারস্টাইল,10
জানেমান,12
পরিচয়কে,12
ঋদ্ধিমা,10
রণধীর,10
ছুড়ছেন,10
নেপোটিজমের,11
হোয়াকিন,10
পাচিনো,10
ধীরুভাই,12
একাকীত্ব,12
শ্রীলেখার,11
ডাইনি,11
প্রশ্নগুলোর,10
বাঘী,11
হিরোপান্তি,10
তন্দ্রা,11
আর্যা,10
পাল্লায়,10
গঙ্গোপাধ্যায়ের,11
সৌজন্যেই,11
অনিকেত,11
পুত্রবধু,12
ভেলা,12
কাইফও,11
ক্যাটকে,11
দুলিয়ে,10
আলভিরা,12
কাছাকাছিই,12
রাইফেলে,12
ঘনিষ্ঠজনরা,12
ক্রিসের,10
রেস্তরাঁয়,12
এগোচ্ছেন,10
ব্রাউনের,10
বেধেছে,10
খবরটিও,12
প্রস্থানম,10
চিত্রায়নে,10
ভোলেনি,11
পত,10
রাঘবন,11
বিপু,12
নাট্যচর্চার,11
নাট্যোৎসবের,11
পোষ্টার,11
ফার্স্টলুক,10
নাট্যকারদের,10
বুদ্ধদেব,12
টাপুর,10
মূত্রের,11
গমেজ,11
অপ্রাপ্তির,11
চরিত্রগুলোর,12
ওয়েবসাইটেও,10
মাল্টিপ্লেক্সের,11
দশমীতে,11
হরিবংশ,11
পেটি,12
রেকর্ডসের,10
ড্রামে,11
টালিগঞ্জ,10
ব্যাকের,10
সিমা,12
মেধাভিত্তিক,10
নজড়,10
সেরাকন্ঠ,10
কন্ঠেই,10
ধুমকেতু,11
স্পিডের,10
ভার্স,10
রডনি,10
কমিকসের,10
দুয়োধ্বনি,12
সেলফিতে,12
পরিচালকই,11
মথুরা,10
মাতন্ডকর,11
কিষাণ,11
সপার,10
